Code,Content,Cubes,Information
32136,Erhebung über zurückgenommene Verkaufsverpackungen,10,true
32141,"Aufbereitung,Verwertung v. Bau- u. Abbruchabfällen",7,true
32151,Erhebung der gefährlichen Abfälle,12,true
32161,Erhebung über die Abfallerzeugung,6,true
32211,Erhebung der öffentlichen Wasserversorgung,4,true
32212,Erhebung der öffentlichen Abwasserentsorgung,2,true
32213,Erhebung der öffentlichen Abwasserbehandlung,4,true
32214,Erhebung der öff. Abwasserentsorgung - Klärschlamm,1,true
32221,"Erh. nichtöff. Wasserversorgung,Abwasserentsorgung",12,true
32251,Wassereigenversorgung u.-entsorgung priv.Haushalte,1,true
32311,Erhebung d. Unfälle mit wassergefährdenden Stoffen,38,true
32331,Erh. der Anlagen zum Umgang mit wassergef. Stoffen,40,true
32511,Erhebung der Investitionen für den Umweltschutz,8,true
32521,Erh. der laufenden Aufwendungen f.d. Umweltschutz,11,true
32531,Erh. der Güter und Leistungen für den Umweltschutz,12,true
33111,Flächenerhebung nach Art der tatsächlichen Nutzung,10,true
41122,Repräsentative Agrarstrukturerhebung (ASE b. 2007),40,true
41141,Landwirtschaftszählung: Haupterhebung,176,true
41145,Landwirtschaftszählung: Gartenbau,22,true
41161,Strukturerhebung der Forstbetriebe,9,true
41213,Allgemeine Zierpflanzenerhebung,25,true
41214,Erhebung über Speisepilze,2,true
41215,Gemüseerhebung,12,true
41221,Baumschulerhebung,4,true
41231,Baumobstanbauerhebung,12,true
41232,Erhebung über Strauchbeeren,14,true
41241,Ernte-u.Betriebsbericht: Feldfrüchte und Grünland,4,true
41243,Ernte- und Betriebsbericht: Baumobst,6,true
41244,Ernte- und Betriebsbericht: Reben und Weinmost,18,true
41252,Rebflächenerhebung (Weinbaukataster),9,true
41253,Erhebung der Weinernte,18,true
41254,Erhebung der Weinerzeugung,12,true
41255,Erhebung der Weinbestände,34,true
41261,Holzeinschlagsstatistik (forstl. Erzeugerbetriebe),40,true
41271,Bodennutzungshaupterhebung,17,true
41311,Allg. und Repräs. Erhebung über die Viehbestände,6,true
41312,Viehbestandserhebung Rinder,18,true
41313,Viehbestandserhebung Schweine,10,true
41314,Viehbestandserhebung Schafe,6,true
41321,Geflügelstatistik: Erhebung in Brütereien,10,true
41322,Geflügelstatistik: Erh. in Geflügelschlachtereien,16,true
41323,Geflügelstatistik: Untern. mit Legehennenhaltung,14,true
41331,Schlachtungs- und Schlachtgewichtsstatistik,4,true
41362,Erhebung über die Erzeugung in Aquakulturbetrieben,10,true
41363,Preiserhebung in Aquakulturbetrieben,1,false
42111,Monatsbericht im Verarbeitenden Gewerbe,28,true
42113,Reichweiten des Auftragsbestandes im Verarb. Gew.,4,true
