Code,Content,Cubes,Information
1000A,Bevölkerung kompakt,76,true
2000S,"Bevölkerung: Bildung, Erwerb, Migration",12787,true
3000G,Gebäude,9,true
4000W,Wohnungen,69,true
5000H,Haushalte,11,true
6000F,Familien,10,true
