EVAS ;Beschreibung
423;Fachstatistiken einzelner Zweige im Bereich Verarbeitendes Gewerbe, Bergbau und Gewinnung von Steinen und Erden
429;Sonstiges im Bereich Verarbeitendes Gewerbe, Bergbau und Gewinnung von Steinen und Erden
431;Konjunkturerhebungen im Bereich Energie- und Wasserversorgung
432;Strukturerhebungen im Bereich Energieversorgung, Wasserversorgung, Abwasser- und Abfallentsorgung, Beseitigung von Umweltverschmutzungen
433;Fachstatistiken im Bereich Energie- und Wasserversorgung: Elektrizität- und Gasversorgung
434;Fachstatistiken im Bereich Energie- und Wasserversorgung: Wärmeversorgung
435;Übrige Fachstatistiken im Bereich Energie- und Wasserversorgung
439;Sonstiges im Bereich Energie- und Wasserversorgung
441;Konjunkturerhebungen im Bereich Baugewerbe
442;Strukturerhebungen im Bereich Baugewerbe
449;Sonstiges im Bereich Baugewerbe
451;Handels- und Gaststättenzählung
452;Konjunkturstatistiken im Bereich Handel (einschl. Instandhaltung und Reparatur von Kfz), Gastgewerbe
453;Strukturstatistiken im Bereich Handel (einschl. Instandhaltung und Reparatur von Kfz), Gastgewerbe
454;Fachstatistiken in einzelnen Zweigen des Bereichs Handel (einschl. Instandhaltung und Reparatur von Kfz), Gastgewerbe, Tourismus
456;Kfz-Handel, Instandhaltung
459;Sonstiges im Bereich Handel (einschl. Instandhaltung und Reparatur von Kfz), Gastgewerbe, Tourismus
461;Eisenbahnverkehr und Straßenpersonenverkehr
462;Straßenverkehr (ohne Personenbeförderung)
463;Binnen- und Seeschifffahrt
464;Luftverkehr
465;Nachrichtenübermittlung
469;Sonstiges im Bereich Transport und Verkehr
471;Wertpapiermärkte
472;Kreditinstitute
473;Versicherungen
474;Dienstleistungen
479;Sonstiges im Bereich Finanz- und andere Dienstleistungen
481;Strukturstatistiken der Unternehmen
482;Flexibles Modul der strukturellen Unternehmensstatistik
491;Länderstatistiken im Bereich Land- und Forstwirtschaft, Fischerei
492;Länderstatistiken im Bereich Produzierendes Gewerbe: Bereich Verarbeitendes Gewerbe, Bergbau und Gewinnung von Steinen und Erden
493;Länderstatistiken im Bereich Produzierendes Gewerbe: Bereich Energie- und Wasserversorgung
494;Länderstatistiken im Bereich Produzierendes Gewerbe: Bereich Baugewerbe
495;Länderstatistiken im Bereich Handel sowie Instandhaltung und Reparatur von Kfz und Gebrauchsgütern, Gastgewerbe, Tourismus
